,title,Pageid,Length,NS,Nb revisions,Nb revisions IP,Nb revisions bot,Nb revisions wiki,Nb editos,Nb editors IP,Nb editors Bot,Nb editors Wiki,Links,Date
161,Symmedian,320997,4440,0,64,13,13,38,48,9,5,34,33,976
162,Platonic solid,23905,41207,0,1480,649,95,736,738,371,16,351,274,248
163,Arc (projective geometry),5744937,3540,0,28,2,1,25,12,2,1,9,27,1990
164,Sphere packing,368621,17794,0,299,73,23,203,157,53,8,96,101,1035
165,Pythagorean theorem,26513034,85339,0,5532,1848,278,3406,2165,1218,29,918,343,248
166,Rectangle,70048,15799,0,1061,379,110,572,550,269,20,261,123,572
167,Polygon,23621,32246,0,1764,611,130,1023,802,407,21,374,275,242
168,Mrs. Miniver's problem,62047,2785,0,36,7,4,25,25,4,2,19,19,545
169,Parabolic reflector,192590,18766,0,384,125,21,238,206,89,5,112,95,780
170,Normal (geometry),173224,12572,0,223,61,30,132,136,44,9,83,86,738
171,Ray tracing (graphics),26000,30094,0,819,311,43,465,476,226,10,240,118,255
172,Rhombus,183884,11270,0,1556,761,132,663,864,521,20,323,99,762
173,Straightedge,147854,2433,0,114,34,10,70,88,29,5,54,159,670
174,Algebraic geometry,1997,56006,0,654,195,66,393,366,153,16,197,431,253
175,Uniform tessellation,401018,5793,0,84,15,6,63,35,9,4,22,224,1063
176,Birational geometry,382733,16720,0,70,16,8,46,46,13,5,28,76,1048
177,3D projection,313741,14155,0,362,125,25,212,213,99,8,106,76,965
178,Brahmagupta's formula,194129,5632,0,147,41,18,88,87,27,7,53,27,783
179,Hyperbolic geometry,241291,33247,0,651,146,43,462,307,112,9,186,203,872
180,Soddy's hexlet,7463064,14179,0,85,4,5,76,30,4,4,22,45,2100
181,Group action,12781,33336,0,539,137,34,368,249,91,10,148,176,291
182,Reuleaux triangle,580252,11897,0,329,102,34,193,194,77,9,108,70,1177
183,Angular defect,673575,5928,0,91,12,11,68,52,12,4,36,43,1224
184,Kepler conjecture,368311,16598,0,283,78,20,185,160,52,7,101,81,1035
185,Parallel (geometry),664497,18448,0,481,197,58,226,307,144,17,146,82,1220
186,Pseudosphere,60766,7079,0,125,29,13,83,86,22,6,58,51,537
187,Bretschneider's formula,5615284,3232,0,59,12,10,37,42,8,2,32,18,1980
188,Hidden line removal,596878,1847,0,47,16,6,25,40,14,5,21,13,1185
189,Pedal triangle,152983,3897,0,59,16,8,35,37,10,3,24,20,683
190,Archimedean solid,1847,19256,0,360,69,31,260,175,45,14,116,154,236
191,Geometry,18973446,37429,0,2571,1056,235,1279,1312,712,16,584,421,2086
192,Line at infinity,403142,5395,0,77,19,9,49,48,12,5,31,33,1064
193,Compass-and-straightedge construction,61229,27481,0,616,179,44,393,337,135,14,188,155,541
194,Spherical geometry,174026,10537,0,256,96,20,140,177,57,5,115,62,739
195,Uniform polyhedron,2537223,59635,0,796,42,24,730,110,23,9,78,238,1683
196,Hilbert's third problem,152703,7684,0,79,14,10,55,58,13,4,41,78,682
197,Geometry of numbers,250153,7786,0,120,9,10,101,47,8,5,34,91,886
198,Geometric shape,1220579,2483,0,45,9,1,35,26,6,0,20,37,1414
199,Similarity (geometry),39377,17663,0,478,132,43,303,261,103,11,147,107,406
200,Non-uniform rational B-spline,308474,30980,0,526,218,28,280,320,162,7,151,98,958
201,Ptolemy's theorem,1521971,19013,0,402,84,27,291,145,50,10,85,53,1495
202,Van Hiele model,5731861,20209,0,75,3,14,58,30,3,5,22,35,1989
203,Four-dimensional space,1364622,31196,0,1962,839,108,1014,1043,586,15,442,206,1451
204,Trigonometry,18717261,24433,0,4372,2186,195,1990,2231,1376,23,832,262,236
205,Hadwiger's theorem,629554,2903,0,51,9,2,40,23,7,1,15,22,1202
206,Johnson solid,16034,42081,0,436,71,19,346,134,42,7,85,210,236
207,Schläfli symbol,489394,25983,0,432,28,15,389,78,20,6,52,131,1137
208,Regular polytope,518693,37666,0,498,69,11,418,175,46,2,127,227,1151
209,Transformation geometry,473774,9530,0,88,24,6,58,42,16,2,24,58,1128
210,Sphericon,572813,2603,0,69,15,7,47,38,8,3,27,21,1174
211,Non-Euclidean geometry,58610,40722,0,925,370,65,490,532,247,15,270,392,290
212,Thales' theorem,267471,12179,0,328,89,24,215,178,61,7,110,69,910
